epoch,lr,train_loss,val_loss,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
60,0.0001,2.1683468893170357,2.1778292114084414,1733580251,checkpoint_000060,True,False,61,4a35b_00000,2024-12-07_14-04-11,5.312035322189331,355.15161299705505,12070,519fe39d5365,172.28.0.12,355.15161299705505,61
61,0.0001,2.1666621292630834,2.176922559738159,1733580258,checkpoint_000061,True,False,62,4a35b_00000,2024-12-07_14-04-18,6.299824476242065,361.4514374732971,12070,519fe39d5365,172.28.0.12,361.4514374732971,62
62,0.0001,2.1657842583954334,2.175441015850414,1733580263,checkpoint_000062,True,False,63,4a35b_00000,2024-12-07_14-04-23,5.345977544784546,366.79741501808167,12070,519fe39d5365,172.28.0.12,366.79741501808167,63
63,0.0001,2.1642628560463577,2.174573800780556,1733580269,checkpoint_000063,True,False,64,4a35b_00000,2024-12-07_14-04-29,5.708859443664551,372.5062744617462,12070,519fe39d5365,172.28.0.12,372.5062744617462,64
64,0.0001,2.1633752286434156,2.1732700087807393,1733580275,checkpoint_000064,True,False,65,4a35b_00000,2024-12-07_14-04-35,5.90003514289856,378.4063096046448,12070,519fe39d5365,172.28.0.12,378.4063096046448,65
65,0.0001,2.1619228894511857,2.1725215044888584,1733580280,checkpoint_000065,True,False,66,4a35b_00000,2024-12-07_14-04-40,5.321381330490112,383.7276909351349,12070,519fe39d5365,172.28.0.12,383.7276909351349,66
66,0.0001,2.1610615476965904,2.1712948625737973,1733580286,checkpoint_000066,True,False,67,4a35b_00000,2024-12-07_14-04-46,6.253812074661255,389.98150300979614,12070,519fe39d5365,172.28.0.12,389.98150300979614,67
67,0.0001,2.159815035760403,2.17056253823367,1733580292,checkpoint_000067,True,False,68,4a35b_00000,2024-12-07_14-04-52,5.678684234619141,395.6601872444153,12070,519fe39d5365,172.28.0.12,395.6601872444153,68
68,0.0001,2.1589267440140234,2.169498692859303,1733580298,checkpoint_000068,True,False,69,4a35b_00000,2024-12-07_14-04-58,5.335904121398926,400.9960913658142,12070,519fe39d5365,172.28.0.12,400.9960913658142,69
69,0.0001,2.1577541542549925,2.168814431537281,1733580304,checkpoint_000069,True,False,70,4a35b_00000,2024-12-07_14-05-04,6.081911325454712,407.0780026912689,12070,519fe39d5365,172.28.0.12,407.0780026912689,70
70,0.0001,2.15694043536981,2.167793664065274,1733580309,checkpoint_000070,True,False,71,4a35b_00000,2024-12-07_14-05-09,5.3090903759002686,412.3870930671692,12070,519fe39d5365,172.28.0.12,412.3870930671692,71
71,0.0001,2.1557863975564633,2.1671858917583116,1733580315,checkpoint_000071,True,False,72,4a35b_00000,2024-12-07_14-05-15,5.86700963973999,418.2541027069092,12070,519fe39d5365,172.28.0.12,418.2541027069092,72
72,0.0001,2.1550050700704264,2.1662570129741323,1733580321,checkpoint_000072,True,False,73,4a35b_00000,2024-12-07_14-05-21,5.828227519989014,424.0823302268982,12070,519fe39d5365,172.28.0.12,424.0823302268982,73
73,0.0001,2.154015312592189,2.1656266125765713,1733580326,checkpoint_000073,True,False,74,4a35b_00000,2024-12-07_14-05-26,5.344876766204834,429.427206993103,12070,519fe39d5365,172.28.0.12,429.427206993103,74
74,0.0001,2.1531656285126997,2.164835019545121,1733580333,checkpoint_000074,True,False,75,4a35b_00000,2024-12-07_14-05-33,6.928861618041992,436.356068611145,12070,519fe39d5365,172.28.0.12,436.356068611145,75
75,0.0001,2.1523400371273365,2.1641413732008505,1733580339,checkpoint_000075,True,False,76,4a35b_00000,2024-12-07_14-05-39,6.010342121124268,442.3664107322693,12070,519fe39d5365,172.28.0.12,442.3664107322693,76
76,0.0001,2.151492275297643,2.163513888012279,1733580345,checkpoint_000076,True,False,77,4a35b_00000,2024-12-07_14-05-45,5.301872491836548,447.66828322410583,12070,519fe39d5365,172.28.0.12,447.66828322410583,77
77,0.0001,2.1504899822175503,2.1630372350866143,1733580351,checkpoint_000077,True,False,78,4a35b_00000,2024-12-07_14-05-51,6.119117975234985,453.7874011993408,12070,519fe39d5365,172.28.0.12,453.7874011993408,78
78,0.0001,2.149488493800163,2.1620185266841543,1733580356,checkpoint_000078,True,False,79,4a35b_00000,2024-12-07_14-05-56,5.385713577270508,459.1731147766113,12070,519fe39d5365,172.28.0.12,459.1731147766113,79
79,0.0001,2.148536634941896,2.1612398949536407,1733580362,checkpoint_000079,True,False,80,4a35b_00000,2024-12-07_14-06-02,5.799878358840942,464.97299313545227,12070,519fe39d5365,172.28.0.12,464.97299313545227,80
80,0.0001,2.1477852053940314,2.160557606003501,1733580368,checkpoint_000080,True,False,81,4a35b_00000,2024-12-07_14-06-08,5.7525506019592285,470.7255437374115,12070,519fe39d5365,172.28.0.12,470.7255437374115,81
81,0.0001,2.1468291021883497,2.159936720674688,1733580373,checkpoint_000081,True,False,82,4a35b_00000,2024-12-07_14-06-13,5.311565399169922,476.0371091365814,12070,519fe39d5365,172.28.0.12,476.0371091365814,82
82,0.0001,2.146250332395235,2.1594206419858066,1733580379,checkpoint_000082,True,False,83,4a35b_00000,2024-12-07_14-06-19,6.2348504066467285,482.27195954322815,12070,519fe39d5365,172.28.0.12,482.27195954322815,83
83,0.0001,2.1455590998133007,2.1589235067367554,1733580385,checkpoint_000083,True,False,84,4a35b_00000,2024-12-07_14-06-25,5.521693468093872,487.793653011322,12070,519fe39d5365,172.28.0.12,487.793653011322,84
84,0.0001,2.144684796531995,2.1584840796210547,1733580391,checkpoint_000084,True,False,85,4a35b_00000,2024-12-07_14-06-31,5.712034702301025,493.50568771362305,12070,519fe39d5365,172.28.0.12,493.50568771362305,85
85,0.0001,2.143946330994367,2.158070672642101,1733580397,checkpoint_000085,True,False,86,4a35b_00000,2024-12-07_14-06-37,5.902139663696289,499.40782737731934,12070,519fe39d5365,172.28.0.12,499.40782737731934,86
86,0.0001,2.1433460700015234,2.157763134349476,1733580402,checkpoint_000086,True,False,87,4a35b_00000,2024-12-07_14-06-42,5.354218482971191,504.7620458602905,12070,519fe39d5365,172.28.0.12,504.7620458602905,87
87,0.0001,2.1432704366743573,2.156931107694452,1733580408,checkpoint_000087,True,False,88,4a35b_00000,2024-12-07_14-06-48,6.155551910400391,510.9175977706909,12070,519fe39d5365,172.28.0.12,510.9175977706909,88
88,0.0001,2.143473282456398,2.15713813088157,1733580414,checkpoint_000088,True,False,89,4a35b_00000,2024-12-07_14-06-54,5.52733039855957,516.4449281692505,12070,519fe39d5365,172.28.0.12,516.4449281692505,89
89,0.0001,2.142548790822427,2.156249024651267,1733580419,checkpoint_000089,True,False,90,4a35b_00000,2024-12-07_14-06-59,5.294478893280029,521.7394070625305,12070,519fe39d5365,172.28.0.12,521.7394070625305,90
90,0.0001,2.141584482043981,2.1563749530098653,1733580425,checkpoint_000090,True,False,91,4a35b_00000,2024-12-07_14-07-05,5.98603630065918,527.7254433631897,12070,519fe39d5365,172.28.0.12,527.7254433631897,91
91,0.0001,2.1408128539721165,2.1556214961138638,1733580431,checkpoint_000091,True,False,92,4a35b_00000,2024-12-07_14-07-11,5.286086559295654,533.0115299224854,12070,519fe39d5365,172.28.0.12,533.0115299224854,92
92,0.0001,2.1403049652775126,2.155609065836126,1733580437,checkpoint_000092,True,False,93,4a35b_00000,2024-12-07_14-07-17,5.880045175552368,538.8915750980377,12070,519fe39d5365,172.28.0.12,538.8915750980377,93
93,0.0001,2.1395342238247395,2.1550110470164907,1733580442,checkpoint_000093,True,False,94,4a35b_00000,2024-12-07_14-07-22,5.859654664993286,544.751229763031,12070,519fe39d5365,172.28.0.12,544.751229763031,94
94,0.0001,2.1391726359725,2.154958269812844,1733580448,checkpoint_000094,True,False,95,4a35b_00000,2024-12-07_14-07-28,5.287754774093628,550.0389845371246,12070,519fe39d5365,172.28.0.12,550.0389845371246,95
95,0.0001,2.138477835804224,2.1544413674961436,1733580454,checkpoint_000095,True,False,96,4a35b_00000,2024-12-07_14-07-34,6.352863073348999,556.3918476104736,12070,519fe39d5365,172.28.0.12,556.3918476104736,96
96,0.0001,2.138261898110311,2.154369906945662,1733580460,checkpoint_000096,True,False,97,4a35b_00000,2024-12-07_14-07-40,5.396894454956055,561.7887420654297,12070,519fe39d5365,172.28.0.12,561.7887420654297,97
97,0.0001,2.137504561493794,2.1540417020971123,1733580465,checkpoint_000097,True,False,98,4a35b_00000,2024-12-07_14-07-45,5.494539499282837,567.2832815647125,12070,519fe39d5365,172.28.0.12,567.2832815647125,98
98,0.0001,2.137024761488041,2.153795838356018,1733580471,checkpoint_000098,True,False,99,4a35b_00000,2024-12-07_14-07-51,6.036083936691284,573.3193655014038,12070,519fe39d5365,172.28.0.12,573.3193655014038,99
99,0.0001,2.1366269054512177,2.1535825946114286,1733580477,checkpoint_000099,True,False,100,4a35b_00000,2024-12-07_14-07-57,5.344413995742798,578.6637794971466,12070,519fe39d5365,172.28.0.12,578.6637794971466,100
